full_formula,task_id,formation_energy_per_atom
Co8P4,mp-22204,-0.5233345102777776
Nd8Re12Si20,mp-22401,-0.5279968414999985
Ce4Sb2,mp-22678,-0.8126175300000007
Na2La2Mn2W2O12,mp-22748,-2.684591298448275
Zr2Br6,mp-23247,-1.7991400431250009
Mg2Fe1H6,mp-23804,-0.4052702355555553
Co4H8Se4O20,mp-23967,-1.2677928863715284
Cd4H16Br8O32,mp-24509,-0.8596595001666666
Al8H144C24N72F48,mp-24554,-1.0762706077364865
Ni4Sn4H48O24F24,mp-24577,-1.7190874580769226
Ba2Si2,mp-2499,-0.38598382750000004
V1Tc1,mp-2540,-0.37241396999999843
Li4V4P4O16,mp-26127,-2.6426929598809514
Y16O24,mp-2652,-3.9709200774166673
Mg4V4O12,mp-27186,-2.774963967
Ge10F24,mp-27342,-2.50086078117647
Sn4Cl4F4,mp-27373,-2.005043653333334
Ba2Nb4O12,mp-28150,-3.2160994216666663
S8O8F16,mp-28257,-2.07971700234375
Cs4Ni6S8,mp-28486,-0.9675104603735636
Nd2Ta6O18,mp-28653,-3.5098241769230776
V4Sb4O16,mp-29146,-2.235131225
Ca3Sn1O1,mp-29241,-1.7673334400000003
Si8Te8Pt8,mp-29397,-0.6799572270833328
Li1Ge1Pd2,mp-29633,-0.6092348795833331
Cs2Mg2I6,mp-29751,-1.497126484586207
La12Si4Br12,mp-29995,-1.7345238082142858
K16Ga8Sb16,mp-30077,-0.49738015245000006
Ho8Au4,mp-30385,-0.6435962741666668
Zr2Be26,mp-30445,-0.19806794892857177
Ca2Zn2,mp-30483,-0.2458217399999998
Pr2P6O18,mp-30957,-2.9858719273076932
Hg12Se8Br8,mp-31075,-0.6479442928125001
Sc1Mn4Al8,mp-31081,-0.33480456744031856
Ho24In2Pt14,mp-31109,-1.0234016819999994
Ca2Zn2Sn2,mp-31160,-0.5168031633333333
Zn1Cr1F6,mp-35311,-2.645591975625
Cr1Ag1Se2,mp-3532,-0.5973268378385415
Zr2Si2S2,mp-3938,-1.3450657043749992
Na8Al6Si6C1O27,mp-39823,-3.022575786196121
Li4Si4O10,mp-4117,-3.015913218518518
Pr4Ag4As8,mp-4308,-0.7729185841666668
Er1Mn2Ge2,mp-4487,-0.47516016717241455
K1Pr1O2,mp-4519,-2.9225646119999995
V1Fe2Si1,mp-4595,-0.4625551925
Tb1Si2Ag2,mp-4614,-0.3711520406666665
Sr4Tl8O16,mp-4655,-1.722360898333333
Zn2Cr4Se8,mp-4697,-0.8649466927678569
Ag4As4F28,mp-4807,-2.110936820740741
Nd2Ag2Sn2,mp-4808,-0.6220615288888892
Gd2Ta2O8,mp-4875,-3.6945283733333354
Nd1Ge2Rh2,mp-4920,-0.8920453440000002
K4B4F16,mp-4929,-3.3057911566111104
Li12B4N8,mp-5001,-0.962405190694445
In6Ga6Se18,mp-504952,-0.8456430369062498
Sc20As12,mp-505002,-1.112509755625
Ti8Ni4P20,mp-505081,-0.7514346076041667
Mn4N1,mp-505622,-0.24622177134482826
Rb8Ti4O12,mp-5403,-2.7511833172222224
Y4Al4Ge4O20,mp-540905,-3.173873792708333
Yb2Ni12P7,mp-542003,-0.7438766992063487
Na2Cu8As6O24,mp-542185,-1.4346421280775865
Na2Ti6O13,mp-5449,-3.3168057189573084
Sm4Se4Cl4O12,mp-554063,-2.4629427787239577
Ca8B4Cl4O12,mp-554263,-3.2137379595238085
Zr4V8O28,mp-554326,-2.8172527997500003
K3Co2F7,mp-555101,-2.6770907988749997
La12S12N4,mp-555129,-2.3147963206250006
Sm24Ru8O56,mp-555525,-3.123639212045454
Li2As2S4,mp-555874,-0.8590045711458334
Na12B36O60,mp-556226,-2.7873750466538953
Sr4V6Bi2O22,mp-556533,-2.6462518613725488
Y8Mo12O48,mp-556937,-2.672624850343137
Er8B8Cl8O20,mp-556986,-3.27238317030303
Rb1Au1Se2O8,mp-557122,-1.1640529226822913
Ni4Bi4As4O20,mp-557209,-1.6447020621875001
Gd8Ti4O20,mp-557626,-3.8283763654166663
K2V8P14O48,mp-557659,-2.697048661564816
Ca8Bi16O32,mp-558751,-2.140257175357142
P16Ir8Cl8F48,mp-559182,-2.3519265911666674
Rb16Na16Si8O32,mp-559711,-2.335103407150383
Au4Se6O20,mp-559824,-0.9060577044687506
Na36S12O48F12,mp-560222,-2.4375982105866862
Li4Ta4Si4O20,mp-560297,-3.195731487604167
K16Zr8S32,mp-560331,-1.5619510163928578
Ba12Nb28Si8O94,mp-560469,-3.197764105492958
Ca8V8Bi8O40,mp-560755,-2.5537714839062495
Na4Al4As8O28,mp-560921,-2.1982606099137936
Rb6Zr4P10S36,mp-561527,-1.106563229122024
Cs4Te2O2F8,mp-561647,-2.6162410457327585
Na20Co8O18,mp-562435,-1.475692897848576
Nd2O2F2,mp-5634,-4.157995459166667
K4Na2B2P4,mp-567836,-0.3918356372308433
Sr1Si2Pd2,mp-568402,-0.7191921473333338
Bi16Pt8,mp-568531,-0.2473293666666668
Mo24Pb4I56,mp-569225,-0.6882223765476189
La20Al10Br8,mp-569477,-0.9206797034210529
Pr1Ge2Ru2,mp-569607,-0.6572184109999994
Dy10Si17,mp-569825,-0.6262727781481477
Tl6C3N6,mp-570443,-0.0358242993333325
Zr1In3,mp-570578,-0.21133414000000084
Ta8I40,mp-570679,-0.7702247185416672
Cs2Mo1Cl6,mp-570990,-1.8523189973180072
Mg6Ga14Co4,mp-571626,-0.2444283377083334
Pr3Cd3Pd3,mp-571641,-0.6622344327777773
K48Ag16O32,mp-572510,-1.1897219782361113
Cs14Cu12F38,mp-573073,-2.3690436329067883
Rb12Y4Cl24,mp-574571,-2.5042147246666664
Cs8Tc12S26,mp-579058,-1.1029565333630051
Cu3Pd1,mp-580357,-0.10492772250000026
Ca20Cu20,mp-585949,-0.1436979499999996
Li1Al1Ge1,mp-5920,-0.29134166944444395
Mg4Al8Si10O36,mp-6174,-3.3330368120689666
Rb4V8Sb4O32,mp-622258,-2.242689998333334
Al2H2O4,mp-625054,-2.646065535
Ba6Ce2Ru4O18,mp-6301,-2.669611771666668
Yb4Mg4Fe3H22,mp-643071,-0.5692670524242426
Na2Zn1H4Se2O10,mp-643776,-1.4908820277784713
K20As12Pb12,mp-646920,-0.35990395113636353
Cd85Pd27,mp-647220,-0.23307844732142843
Mo24Pb4Br56,mp-649327,-1.0921926083333333
Lu1Ni2B2C1,mp-6544,-0.5192416763888884
Ca10P12Pd12,mp-667294,-0.9824973129411774
Te4S28Cl8,mp-672186,-0.6247048389375003
Sm3Eu3S8,mp-675396,-2.3418880125
Tl8Sn8F24,mp-676130,-2.3572278289166664
Na2Yb2F8,mp-676247,-3.294838604425287
Na10Mg10In6S24O96,mp-677416,-2.288298798291214
Rb24Ta40O112,mp-680298,-3.1629738780113623
Ge16Se36,mp-680333,-0.5326184925841341
K32Li16Sn64,mp-680450,-0.27793242445833294
K12Ga8P12O48,mp-6805,-2.632816385575
Gd2P10,mp-680742,-0.5354260186111107
Sc24I50,mp-685088,-1.3961635985135135
Sr2B4Ir4,mp-6939,-0.6269666830000006
Mn8As8H24O40,mp-695994,-1.6271493880431038
Tl2H12N6O24,mp-696189,-1.007335171515151
Fe1N1,mp-6988,-0.31464321750000046
Ge4Se4,mp-700,-0.4516834374218748
Mn3Pt1N1,mp-7070,-0.38122425375862007
Ni2P2H12N2O10,mp-735535,-1.4598570855952389
Ti4P4,mp-739,-1.181894890833334
K2Zn2As2,mp-7421,-0.47595171433333344
Ho1P1,mp-744,-1.6107617466666673
Li2Cu2F8,mp-753257,-2.212385635555555
Lu4Pt4O14,mp-753414,-2.4972284927272725
Hf1Mn6Sn6,mp-753669,-0.07156063596817083
Mg2Mn3O8,mp-755023,-2.2498417356763936
Ba2La4O8,mp-755558,-3.582359615714285
Ca4Bi4O12,mp-755893,-2.2642227315
Rb8Sn2O6,mp-756570,-1.521760654375
K2Sb10O26,mp-757115,-1.8907607280526317
Sr2H8S6O24,mp-757723,-1.9699471583020838
Li12V6P16O58,mp-759755,-2.7066704966666673
Nb2As4,mp-7598,-0.5261645299999991
Cs12Y4O12,mp-770815,-2.194433725779967
Sr3Sb1N1,mp-7752,-1.0300624230000004
Hf12N16,mp-776470,-1.8702501125000006
Ba4Cd4O8,mp-7899,-2.1459757218749997
Al2Hg1S4,mp-7906,-1.1077082624999994
V6S8,mp-799,-1.3006393567857149
Au1,mp-81,0.0
Ba2Ca1B6O12,mp-8271,-3.1139662421428564
Sr1Cd2P2,mp-8277,-0.588413768666667
Ba1Ti1F6,mp-8291,-3.976583784791667
Li1Zn1Au2,mp-861932,-0.4297917583333333
Li1Ga1Rh2,mp-862730,-0.5309520077083327
Pm2Zn1Sn1,mp-862734,-0.5244663124999995
Pm2Cd1Ge1,mp-862994,-0.4902027150000001
Er1Ta1Ru2,mp-863679,-0.42772258999999835
Yb2Zn22,mp-864767,-0.18598445541666667
Mg1Zr1Au2,mp-864920,-0.6074847100000005
Mn1Si1Ru2,mp-864966,-0.46946011698275747
Ca1B6,mp-865,-0.4078072207142855
Tm2Ir1Ru1,mp-865381,-0.7235643945833328
Gd2Ga6,mp-865386,-0.5485079331249993
Ti1Al1Pd2,mp-865441,-0.7610236508333328
Ti1Nb1Re2,mp-865653,-0.3743390583333337
Yb1Nb1Ru2,mp-865857,-0.16384042750000027
Ti1Sn1Ru2,mp-865888,-0.5834220770833332
K2Tm4Cu6Se10,mp-865972,-1.3210309289138253
Tm1Mg1Hg2,mp-865981,-0.43636815416666663
Yb1Tl1Pd2,mp-865999,-0.6266980708333332
Nd1Mg1Au2,mp-866064,-0.733521825
Ti1Be1Ir2,mp-866154,-0.8116074145833334
Y1In1Rh2,mp-866163,-0.7306458341666664
Cs4Ag8As4S12,mp-866615,-0.6577059622341953
Li1Zn2Ir1,mp-867253,-0.35238238583333326
K4P2Pd1S8,mp-867268,-1.1099832242444445
Ca2Mg1In1,mp-867350,-0.30680251999999975
Rb3Ca3C3O9F3,mp-867757,-2.793709698333334
Sc2Cu1Ir1,mp-867794,-0.7032998775000001
K8F24,mp-867934,-1.6456951198125005
Rb2Li2S2,mp-8751,-1.3452235163194448
Sc2Ge2Au2,mp-9350,-0.7224387733333332
Tm4B16Ru4,mp-971813,-0.6542607255555559
V2Mo1W1,mp-972236,-0.09899926250000135
Tb6Re2B14,mp-972380,-0.5892156899242426
Tb1Cd1Pd2,mp-977397,-0.7259786449999996
Hf2Cu1Re1,mp-977567,-0.2924860362499988
Cs2Na1Li1F6,mp-989559,-2.4338544490747127
Rb1Ag1Br3,mp-998212,-1.2112329393333332
K2Ag2Br6,mp-998553,-1.1851512754333335
In2Sn2Cl6,mp-998567,-1.3038340959999999
Rb2Pb2Br6,mp-998603,-1.6124249930000005
Na1Sm1S2,mp-999455,-2.061936946950431
Ba4Fe4Cu2F28,mvc-12243,-2.8034159297368424
Ba4Ca1V4Cu2F28,mvc-13172,-3.354887397435897
Sm4Ge8Pt4,mp-1005755,-0.8952534968750001
Na1Eu1S2,mp-1007910,-1.7872237169504315
Ta3B4,mp-10142,-0.773151200952381
Ti2Ag2,mp-1017985,-0.06546403500000064
Ba1Ga1Sn1H1,mp-1018094,-0.5420091868750001
Ba1Ga1Ge1H1,mp-1018095,-0.533890676875
Gd1Co1C2,mp-1018146,-0.32033049374999756
Sc1Au2,mp-1018148,-0.8175798283333329
Ho2S2I2,mp-1018731,-2.109408984375
Li3La1As2,mp-1018766,-1.0237232291666665
Ba8Mg2Si4N12,mp-1019517,-1.0843073161538455
K4Ge2S12O42,mp-1019775,-1.9826931931583336
K8Li12B4P16O56,mp-1019778,-2.7468537898333327
Na2Sr2P6O18,mp-1020657,-2.8724816420156003
Rb4Ge2S12O42,mp-1021330,-1.9866869702916659
K8Sn12O28,mp-1024073,-2.0893414390416667
Lu1B2Ir3,mp-1024990,-0.689379236388889
Ho2B4C1,mp-1025183,-0.5780386023809518
K30Mo14N38,mp-1029869,-0.5723936317073167
Cu2Sn2,mp-10598,-0.02331130750000021
Nd1Ge2Au2,mp-1068797,-0.5436437239999996
Ce1Al3Cu1,mp-1069443,-0.41965134699999995
Rb2Pd1Se2,mp-1069771,-1.0645710519375
Sr1Al2Ge2,mp-1070483,-0.39439082133333303
Sc1Rh3C1,mp-10712,-0.4951886369999997
Tb2Sn2Ge2,mp-1077556,-0.6387217816666665
Mn4Ge4,mp-1078464,-0.12276029146551792
Mn3Pd5,mp-1078895,-0.2524309279741379
Si4Tc4,mp-1079910,-0.4884003599999991
Pr3In3Cu3,mp-1080085,-0.3742699894444452
Tb3Sn3Rh3,mp-1084759,-0.8949831438888896
Ti5In1S8,mp-1094043,-1.587029935119047
Na2Ge4Pd6,mp-1095396,-0.500471874425287
Ba1Ge1P2O8,mp-1095485,-2.8003357268055553
Ta4Co4Ge4,mp-1095502,-0.4225281383333339
Er5S7,mp-1095508,-2.3507038109895837
Ce4Mg4Sn4,mp-1095568,-0.46230596499999993
Tb1Cd1Hg2,mp-1100768,-0.37701297999999994
Tm3In3Ni3,mp-1101052,-0.499679147777777
V2Cl10,mp-1101909,-1.473963118333333
Er4Ga4Pt4,mp-1102669,-1.109874064166667
